input,verbal_descriptor_base_ground_truth,verbal_descriptor_base_prediction,verbal_descriptor_new_ground_truth,verbal_descriptor_new_prediction,verbal_descriptor_change_ground_truth,verbal_descriptor_change_prediction,reference_class_description_base_ground_truth,reference_class_description_base_prediction,reference_class_description_new_ground_truth,reference_class_description_new_prediction,source_base_ground_truth,source_base_prediction,source_new_ground_truth,source_new_prediction
"According to a report by the World Health Organization, the absolute 10-year risk of stroke in untreated hypertensive adults over 60 is approximately 12%. In a cohort receiving the new antihypertensive drug, 48 participants experienced a stroke during the same period, representing a relative risk of 0.4 compared to the untreated group.",null,approximately 12%,null,null,null,null,untreated hypertensive adults over 60,untreated hypertensive adults over 60,hypertensive adults over 60 receiving the new drug,null,World Health Organization,World Health Organization,World Health Organization,World Health Organization
"In the study, 166 people who had received a third dose of Pfizer (following Pfizer or AstraZeneca initial doses in June 2021) were randomised to receive either full dose Pfizer or half dose Moderna as a fourth dose.",null,null,null,null,null,null,null,null,null,null,null,null,null,null
"In the period when the research was done, the chance of having a new diagnosis of a neuropsychiatric condition was higher for people who had been hospitalised either for Covid-19 or for some other serious respiratory disease, than for the general public",null,null,null,null,was higher,chance was higher,general public,null,people who had been hospitalised either for Covid-19 or for some other serious respiratory disease,people who had been hospitalised either for Covid-19 or for some other serious respiratory disease,null,null,null,null
It adds to a large body of evidence showing that COVID-19 is associated with an increased risk of neuropsychiatric diagnoses.,null,null,null,null,increased risk,increased risk,null,null,people with prior COVID-19 infection,people with COVID-19,null,null,null,null
A study today from the Netherlands exploring binding and neutralising antibody titres following use of various COVID vaccines in the healthcare workforce at the same institution demonstrates once more that antibody titres following the viral vector vaccines tend to be lower than following mRNA vaccines,null,null,null,null,trend to be lower,null,healthcare workers vaccinated with mRNA COVID vaccines,null,healthcare workers vaccinated with viral vector vaccines,null,study from the Netherlands,null,study from the Netherlands,null
The second observation suggests that the antiviral effect of viral vector vaccines vs virus variants may also be lower than following vaccination with mRNA vaccines has also been suggested by other groups,null,null,null,null,may also be lower,may also be lower,people vaccinated with mRNA vaccines against virus variants,null,people vaccinated with mRNA vaccines against virus variants,antiviral effect of viral vector vaccines,null,null,null,null
In another study (Reissland et al 2018) we found that fetuses in the third trimester reacted differentially to sound and light stimulation depending on maternal mental health status with a 20% increase in fetal eyeblink for each unit increase in anxiety score indicating that fetuses are affected differentially by maternal anxiety ,null,null,null,null,null,null,fetuses in the third trimester whose mothers have lower anxiety scores,null,fetuses in the third trimester whose mothers have one unit increase in anxiety score,fetuses of mothers with higher levels of anxiety,study (Reissland et al 2018),Reissland et al 2018,study (Reissland et al 2018),Reissland et al 2018
"In a randomized controlled trial of 4,800 patients with type 2 diabetes, 122 participants out of 2400 in the placebo group experienced a major cardiovascular event within 24 months. In contrast, only 67 participants out of 2400 receiving the new GLP-1 receptor agonist had such an event over the same period.",null,null,null,null,inevitably climb,null,patients with type 2 diabetes in the placebo group over 24 months,receiving placebo,patients with type 2 diabetes receiving the GLP-1 agonist over 24 months,receiving the new GLP-1 receptor agonist,null,null,null,null
"Prospective studies in China, Denmark, and Norway have all demonstrated the percentage of people who experience any residual symptoms (irrespective of how minor) to be significantly higher than our figures",null,significantly higher,null,null,significantly higher,null,people in our cohort reporting any residual symptons,"people in China, Denmark, and Norway","people in China, Denmark and Norway reporting any residual symptoms",null,our figures,null,"Prospective studies in China, Denmark and Norway",null
The ONS has already demonstrated that the likelihood of developing long COVID in a fully vaccinated population are reduced by about 40% compared to an unvaccinated population,null,null,null,null,reduced by about 40%,reduced by about 40%,unvaccinated people in the population,unvaccinated population,fully vaccinated people in the population,fully vaccinated population,ONS,null,ONS,The ONS has already demonstrated that the likelihood of developing long COVID in a fully vaccinated population are reduced by about 40% compared to an unvaccinated population
"As previously reported, a single intramuscular (IM) injection of 600mg Evusheld reduced the need for hospitalisation/death due to COVID by at least 50% ",null,null,null,null,reduced by at least 50%,reduced by at least 50%,people not treated with Evusheld before COVID,people not receiving Evusheld,people who received a single IM injection of Evusheld before Covid infection,people receiving Evusheld,null,null,null,null
"We also are given no information about the age at which diagnoses were made. The reports of disorders of motor function are more plausible at this young age: These affected 99/7550 (1.3%) of non-Covid cases, and 6/222 (2.7%) of Covid cases.",null,null,null,null,null,null,non-Covid cases,non-Covid cases,people of young age with no covid,Covid cases,people of young age with covid,null,null,null
It is worth noting that 97% of infants with no Covid exposure vs 94% of those with Covid exposure received no neurodevelopmental diagnosis. ,null,null,null,null,null,null,infants with no Covid exposure,infants with Covid exposure,infants with Covid exposure,infants with no Covid exposure,null,null,null,null
"According to the CDC, people who received the seasonal flu vaccine were around 60% less likely to be hospitalized for influenza-related complications compared to unvaccinated individuals.",null,null,null,null,null,around 60% less likely,unvaccinated individuals,unvaccinated individuals,people who received the seasonal flu vaccine,people who received the seasonal flu vaccine,CDC,null,CDC,"According to the CDC, people who received the seasonal flu vaccine were around 60% less likely to be hospitalized for influenza-related complications compared to unvaccinated individuals."
"In 2022, hospitals across Germany documented a total of 12,843 cases in which patients experienced severe allergic reactions after taking prescribed medication.",null,null,null,null,null,null,patients after taking prescribed medication in hosptials in Germany in 2022,patients in Germany in 2022 who experienced severe allergic reactions after taking prescribed medication,null,null,null,null,null,null
"In a group of 1,000 people like those in the study, who were first infected during the Delta period, and had had their most recent vaccination more than 3 months ago, about 125 would have reported symptoms going on for four or more weeks.",null,about 125 out of 1000,null,null,null,null,people infected during the Delta period whose most recent vaccination was more than 3 months ago,people like those in the study who were first infected during the Delta period and had had their most recent vaccination more than 3 months ago,null,null,null,null,null,null
Children have a lower risk of severe acute COVID-19 than adults.,null,null,null,null,lower risk,lower risk,children,null,adults,children,null,null,null,null
"Estimates show that the rate of Long Covid disease may be as high as 43% globally, resulting in an estimated 3.1% of the UK population experiencing persistent symptoms following SARS-CoV-2 infection, as reported by the ONS",null,null,null,null,null,null,Long Covid disease globally,UK population,UK population experiencing persistent symptoms following SARS-CoV-2 infection,null,recent studies,null,ONS,null
"In February, Prof Selina Kikkenborg Berg and colleagues reported on the rate of persistent symptoms in children aged 15-18 in Denmark, finding that children with confirmed SARS-CoV-2 infections were nearly 5% more likely to report at least one persistent symptom lasting 2 months or more",null,null,null,null,nearly 5% more likely,nearly 5% more likely,children aged 15-18 in Denmark without confirmed SARS-CoV-2 infection,children without confirmed SARS-CoV-2 infections,children aged 15-18 in Denmark with confirmed SARS-CoV-2 infection,children with confirmed SARS-CoV-2 infections,Prof Selina Kikkenborg Berg and colleagues,null,Prof Selina Kikkenborg Berg and colleagues,null
"These findings add to different measures used in the recent ONS release, which found in children who met the UK CLoCK study definition for Long Covid, 28% had a probable mental disorder (compared to 12% who didn’t experience Long Covid).",null,null,null,null,null,null,Children without Long Covid,children who didn’t experience Long Covid,Children with Long Covid,children who met the UK CLoCK study definition for Long Covid,recent ONS release,null,recent ONS release,null
"In this database, CP was diagnosed in 2 in 1000 births.",null,null,null,null,null,null,null,births,null,null,in this database,this database,null,null
"By 2030, research from VUB and Save the Children suggests that 84% of children born in 2020 — around 101 million kids — will experience lifelong exposure to extreme heat.",null,null,null,null,null,null,children born globally in 2020,children born in 2020,null,null,research from VUB and Save the Children,research from VUB and Save the Children,null,null
"90% of popular fruits and vegetables tested by federal agencies showed potentially harmful pesticide residues, according to the Environmental Working Group's 2025 Shopper's Guide to Pesticides in Produce, CNN reported.",more than,potentially harmful,null,null,null,null,popular fruits and vegetables,popular fruits and vegetables tested by federal agencies,null,null,"Environmental Working Group's 2025 Shopper's Guide to Pesticides in Produce, CNN",Environmental Working Group's 2025 Shopper's Guide to Pesticides in Produce,null,null
"The health impacts of extreme heat are vast. During the 2022 heatwave, which lasted about 2 weeks, around 5,000 people over the age of 70 died prematurely.",over,null,null,null,null,null,people over the age 70,people over the age of 70,null,null,null,null,null,null
"According to the German Weather Service (DWD), a severe weather warning is in place for 41 districts. The probability of flooding is 60%",null,null,null,null,null,null,41 districts with severe weather warning,null,null,null,German Weather Service (DWD),German Weather Service (DWD),null,German Weather Service (DWD)
"According to EFSA, 12% of the fruit samples tested exceeded EU limits. There is no acute health risk, but long-term risks are unclear.",null,null,null,null,null,null,fruit samples tested,fruit samples tested,null,null,EFSA,EFSA,null,null
"In coastal Bangladesh, the probability of being displaced by flooding within a year is estimated at 2.3% among residents in low-lying areas.",null,null,null,null,null,null,residents in low-lying areas in coastal Bangladesh,residents in low-lying areas,null,null,null,null,null,null
"In 2024, 112 heavy rain events were reported – 36 more than in 2023.",null,null,null,null,null,null,heavy rain events in 2023,heavy rain events in 2023,heavy rain events in 2024,heavy rain events in 2024,null,null,null,null
"In 2024, 1,450 hectares of forest burned, while in 2022 only 790 hectares burned – an increase of 660 hectares.",null,null,null,null,null,null,forests in 2022,forest fires in 2022,forests in 2024,forest fires in 2024,null,null,null,null
The probability of heavy rainfall like the flood was 4.5  times higher due to climate change than in a world without human influence.,null,null,null,null,null,null,heavy rainfall events in world without human influence,world without human influence,heavy rainfall events in world without human influence,world with current level of climate change,null,null,null,null
"According to a report by the European Environment Agency, approximately 1.5% of urban populations in southern Europe are currently affected by heatwaves annually. This number is expected to rise to 2.5% by 2030.",null,null,null,null,null,null,urban populations in southern Europe currently affected by heatwaves each year,urban population in southern Europe,urban populations in southern Europe affected by heatwaves in 2030,urban population in southern Europe,null,European Environment Agency,null,European Environment Agency
"In Frankfurt, a total of 34 hot days above 35°C were measured in 2024 – twice as many as the average for the years 1991-2020.",null,null,null,null,twice,null,average number of hot days above 35°C in Frankfurt for the years 1991-2020,"average number of hot days (35°C+) in Frankfurt, Germany (1991–2020)",number of hot days above 35°C in Frankfurt in 2024,"number of hot days (35°C+) in Frankfurt, Germany in 2024",null,null,null,null
"During the hot summer of 2024, there were 318 heat-related disruptions to rail traffic.
This number more than doubled compared to 2019 (143 cases).",null,null,null,null,more than doubled,more than doubled,heat-related disruptions to rail traffic in 2019,rail traffic disruptions in 2019,heat related disruptions to rail traffic in 2024,rail traffic disruptions in 2024,null,null,null,null
"In Belgium, 35 cases of storm surge were recorded in 2025—five more cases than in the previous year. This represents an increase of 16.7%.",null,null,null,null,null,null,recorded storm surges in Belgium in 2025,storm surge events in Belgium in 2024,recorded storm surges in Belgium in the previous year,storm surge events in Belgium in 2025,null,null,null,null
"In the Netherlands, 12% of the dike kilometers are currently considered critical.",null,null,null,null,null,null,dike kilometers considered critical,dikes in Netherlands,null,null,null,null,null,null
"In Spain, 87 of the rivers were below critical low water levels.",null,null,null,null,null,null,rivers in spain below critical low water levels,null,null,null,null,null,null,null
"In 2025, 91 major wildfires were recorded, compared to 28 wildfires in 2015.",null,null,null,null,null,null,major wildfire recorded in 2015,wildfires in 2015,major wildfire recorded in 2025,wildfires in 2025,null,null,null,null
"In flood-affected regions, the risk of death among children under 5 years of age was 2.1 times higher than in unaffected comparison regions",null,null,null,null,null,null,children under 5 years in unaffected comparison regions,children under 5 years of affected regions,children under 5 years in flood-affected regions,children under 5 years of unaffected comparison regions,null,null,null,null
"In the Cologne region, the absolute risk that a household in a designated flood zone is affected at least once a year is 14%.",null,null,null,null,null,null,housholds in a designated flood zone in the cologne region,households in designated flood zones in Cologne region,null,null,null,null,null,null
"41% of irrigated arable land in Southern Europe is considered to be “at risk of flood stress” – in 2010, the figure was only 27%.",null,only,null,null,null,null,irrigated arable land in Southern Europe in 2010,irrigated arable land in Southern Europe,irrigated arable land in Southern Europe currently,irrigated arable land in Southern Europe,null,null,null,null
"In 2023, 1.9% of the total forest area was lost, compared to 2.5% in 2022. The decline thus amounts to 0.6 percentage points.",null,null,null,null,null,null,total forest area lost in 2022,forest area in 2023,total forest area lost in 2023,forest area in 2022,null,null,,null
Sea levels are projected to rise by up to one meter by the end of the century if emissions continue at current rates. This poses a significant risk to coastal communities worldwide.,significant risk,significant risk,null,null,null,null,coastal communities worldwide,coastal communities if emissions continue at current rates,null,null,null,null,null,null
"The conference on climate innovation will take place in Geneva this September, featuring experts from over 40 countries.",null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Some weeks ago, the soil was significantly cleaner than it is now. ",null,null,null,null,null,null,null,null,null,null,null,null,null,null
"It is estimated that 80–90 percent of the methane from permafrost thaw may not reach the atmosphere immediately, depending on microbial activity and soil saturation — which complicates long-term projections.",null,null,null,null,null,null,methane released from thawing permafrost that does not immediately reach the atmosphere,methane from permafrost thaw,null,null,null,null,null,null
"If global warming continues, we might see more heatwaves, declining fish stocks, rising mental health issues in adolescents, and disruptions to international trade routes due to melting Arctic ice.",null,null,null,null,null,null,null,null,null,null,null,null,null,null
"Experts warn that increasing wildfire frequency (up 150% in some regions), coastal property devaluation projected at $108 billion by 2100, a 12% rise in asthma cases among children, and the spread of invasive insect species across 30 new U.S. states are all potential outcomes of a warming planet — though regional variation remains high.",null,null,null,null,null,null,null,null,null,null,null,null,null,null
"The likelihood of extreme heatwaves in Southern Europe is now considered extremely high during summer months, especially compared to the early 2000s where it was considered as moderately low.",considered as moderatly low,moderately low,considered extremly high,extremely high,null,null,summer months in Southern Europe during the early 2000s,Southern Europe during summer months in the early 2000s,summer months in Southern Europe in the present day,Southern Europe during summer months,null,null,null,null
"Geo-engineering will reduce the number of extreme storms by 20%. In 2024, 20678 of these events happened. ",null,null,null,null,null,null,extreme storms in 2024,number of extreme storms,extreme storms expected to occur with geo-engineering implementation,number of extreme storms,null,null,null,null
"A lot of experts say that climate change is a hoax, according to the American President. ",null,null,null,null,null,null,null,null,null,null,null,null,null,null
Ecosystems are nearly six times less endangered since the EU voted for the anti-pesticide law in May 2023. ,null,null,null,null,nearly six times less endangered,nearly six times less,ecosystems before the EU anti-pesticide law in May 2023,ecosystems before the EU voted for the anti-pesticide law in May 2023,ecosystems after the EU anti-pesticide law in May 2023,ecosystems after the EU voted for the anti-pesticide law in May 2023,null,null,null,null
"Some regions in Mexico have 5,2% of rain days per year, while Europe has 11% of rain days per year. This is almost 2 times as much. ",null,null,null,null,almost 2 times as much,almost 2 times as much,rain days in some regions of Mexico,regions in Mexico,rain days in Europe,regions in Europe,null,null,null,null
