input,output
"According to 2023 findings from the Global Retirement Index, 7.2% of Indian retirees were underfunded, with projections suggesting the number could reach 16 million by 2036.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 7,20%
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: 16000000.0
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: could reach
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: underfunded Indian retirees in 2023
reference_class_description_new: underfunded Indian retirees in 2036 projection
source_base: Global Returement Index
source_new: Global Returement Index"
But recent data suggested that many children today are not receiving the vision screenings needed to flag potential issues: Those between 6 and 17 years who had their vision tested in the previous 2 years dropped from 84.6% in 2016 to 79.6% in 2023.,"risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 84,6%
absolute_risk_new: 79,6%
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: children between 6 and 17 in 2016
reference_class_description_new: children between 6 and 17 in 2023
source_base: recent data
source_new: recent data"
"Both men and women athletes suffer from concussions, but they occur at a substantially higher rate for women in many sports.Consider, for instance, ice hockey. The concussion rate for adult women's ice hockey is 39% higher than it is for adult men's ice hockey, according to one systematic review published in the scientific journal Sports Medicine.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: 0.39
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: substantially higher rate
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: adult men who play icehockey
reference_class_description_new: adult women who play icehockey
source_base: one systematic review published in the scientific journal Sports Medicine.
source_new: one systematic review published in the scientific journal Sports Medicine."
"Lyme disease cases in Michigan have increased by 168% over the last five years, the Michigan Department of Health and Human Services said. The state recorded 1,215 cases in 2024, compared to 452 cases in 2020.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: 452.0
absolute_number_new: 1215.0
absolute_risk_difference: null
relative_risk: 1.68
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: people in michigan in 2020
reference_class_description_new: people in michigan in 2024
source_base:  the Michigan Department of Health and Human Services
source_new:  the Michigan Department of Health and Human Services"
"More than 80 autoimmune diseases are known, some of which are caused by exposure to environmental toxins and have no discovered cure. At least 15 million people in the United States, or about 5% of the population, have an autoimmune disease, the agency reports.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 5%
absolute_risk_new: null
absolute_number_base: 15000000.0
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: people in the United states
reference_class_description_new: null
source_base: the agency
source_new: null"
"Not getting enough sunlight can also pose significant risks. Research suggests that a lack of sun exposure may be linked to 340,000 deaths in the United States each year. ","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: 340000.0
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: significant risk
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: people in the United states
reference_class_description_new: null
source_base: Research
source_new: null"
"They tested nearly 200 unique products across several brands. Around 17% -- roughly one in six -- were found to have incorrect active ingredient levels, including products used in major hospitals.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 17%
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: roughly one in six
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: 200.0
reference_class_size_new: null
reference_class_description_base: unique products across several brands
reference_class_description_new: null
source_base: null
source_new: null"
"While globally suicide ranks third for youth mortality, in India, it is surpassed only by road accidents. The share of suicides is slightly higher among young women (18.2%) than men (16.3%)","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 16,3%
absolute_risk_new: 18,2%
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: slightly higher
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: young men in India
reference_class_description_new: young women in India
source_base: null
source_new: null"
"By the mid-20th century, tuberculosis in the United States and Europe had already declined thanks to improved nutrition and living conditions. Once treatments arrived in the 1950s, deaths tumbled: by the late 1980s, they had fallen by over 90% in the United States. ","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: -0.9
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: People in the U.S in the 1950s
reference_class_description_new: People in the U.S in the late 1980s
source_base: null
source_new: null"
"Glaucoma affects about 700,000 people in the UK. A report by the Royal College of Ophthalmologists suggests cases could rise by 22% by 2035.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: 700000.0
absolute_number_new: null
absolute_risk_difference: null
relative_risk: 0.22
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: people in th UK
reference_class_description_new: people in the UK in 2035
source_base: A report by the Royal College of Ophthalmologists
source_new: A report by the Royal College of Ophthalmologists"
The prevalence of dry eye varies significantly across demographics. Women are almost twice as likely to develop the condition compared to men (8.8% vs. 4.5%),"risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 4,5%
absolute_risk_new: 8,8%
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: almost twice as likely
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: men
reference_class_description_new: women
source_base: null
source_new: null"
"The number of follicles progressively declines with age. By age 30, most women have only about 12% of the egg cells they were born with. After a certain point they lose follicles at a faster rate, though it's not known why. By age 40, a mere 3% may remain.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 12%
absolute_risk_new: 3%
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: only
verbal_descriptor_new: mere
verbal_descriptor_change: lose at a faster rate
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: women age 30
reference_class_description_new: women age 40
source_base: null
source_new: null"
"In the summer of 2022, Paris recorded 37 heat-related deaths, while in 2023 the number rose to 65.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: 37.0
absolute_number_new: 65.0
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: heat-related deaths in Paris in summer of 2022
reference_class_description_new: heat-related deaths in Paris 2023
source_base: null
source_new: null"
"According to a recent report by the World Health Organization, a resurgence of measles outbreaks in sub-Saharan Africa is considered likely within the next two years.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: likely
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: sub-Saharan African population
reference_class_description_new: null
source_base: recent report by the World Health Organization
source_new: null"
"Estimates now range from about 5 per 100,000 to 39 per 100,000 among hospitalized children, suggesting pulmonary embolism is more common than previously estimated.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 22/100000
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: more common
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: hospitalized children
reference_class_description_new: null
source_base: null
source_new: null"
"According to CDC estimates, overdose deaths in the U.S. dropped from 105,000 in 2023 to 77,000 in 2024 — a 27% decline, marking an unprecedented improvement.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: 105000.0
absolute_number_new: 77000.0
absolute_risk_difference: null
relative_risk: 0.73
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: people in United States
reference_class_description_new: people in United States
source_base: CDC estimates
source_new: CDC estimates"
"In the U.S., 12.3% of chronic disease deaths in 2019 were linked to overweight and obesity — a sharp rise from 6.1% in 1990.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 6.1%
absolute_risk_new: 12.3%
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: a sharp rise
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: people in China
reference_class_description_new: people in China
source_base: null
source_new: null"
"A recent study found that 4.4% of individuals aged 12 and older in Bavaria — about 260,000 people — misuse opioids, nearly four times the national average of Germany.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: 4,40%
absolute_number_base: null
absolute_number_new: 260000.0
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: nearly four times the national average
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: people in Germany
reference_class_description_new: people in Bavaria
source_base: a recent study 
source_new: a recent study"
UK Biobank data shows normal-weight individuals who walk slowly have a 3.9x higher risk of dying from COVID-19 than brisk walkers of the same weight.,"risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: 3.9
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: individuals who are normal-weight fast walkers
reference_class_description_new: individuals who are normal-weight slow walkers
source_base: UK Biobank data
source_new: UK Biobank data"
"India bears the highest rabies toll in the world, accounting for 35% of global deaths estimated at 18,000 to 20,000 lives lost annually, according to WHO and Health Ministry data.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 35%
absolute_risk_new: null
absolute_number_base: 19000.0
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: all people worldwide who die of rabies 
reference_class_description_new: null
source_base: null
source_new: null"
The study also says that there is evidence to suggest that the Pfizer vaccine leads to an 83% reduction in deaths from COVID-19.,"risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: 0.17
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: people who are vaccinated with the Pfizer vaccine
source_base: null
source_new: the study"
"After approximately 80 days, the rate of tissue loss among hard corals when treated this way was 17.6%. Over that same period, treatment with a paste of the antibiotic amoxicillin resulted in a tissue loss rate of around 1.7%. That makes the antibiotic, which is commonly used to treat SCTLD, significantly more efficient than chlorine.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 17,60%
absolute_risk_new: 1,70%
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: significantly more efficient 
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: hard corals treated with the chlorine-based method over 80 days
reference_class_description_new: hard corals treated with a paste of antibiotic amoxicilin over 80 days
source_base: null
source_new: null"
The National Childhood Measurement Programme shows 9.6% of children in England are obese when they begin primary school and 22.1% of 10 and 11-year-olds are obese.,"risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 9,60%
absolute_risk_new: 22,10%
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: children when they begin primary school in England 
reference_class_description_new: 10 and 11-year-olds in England
source_base: null
source_new: null"
"The age group that accounts for the most fireworks-related injuries are those between 25 and 49 years old, accounting for 41% of emergency department visits.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 41%
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: adults aged 25 to 49
reference_class_description_new: null
source_base: null
source_new: null"
"Sitting also affects the body's capacity to break down fat. When you are idle, the production of lipoprotein lipase, the enzyme responsible for fat breakdown, decreases by approximately 90%, leading fat to be retained rather than consumed.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: 0.1
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: people who are idle or sitting for extended periods
source_base: null
source_new: null"
"Multimorbidity, which occurs when individuals have at least two long-term health conditions, affects over one-third of adults worldwide and is projected to increase by 84% by 2050. ","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 1/3
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: 1.84
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: adults worldwide affected by multimorbidity currently
reference_class_description_new: adults worldwide projected to be affected by multimorbidity in 2050 
source_base: null
source_new: null"
"You may need less exercise than you think: Studies suggest that even just 30 minutes of moderate physical activity a day -- about 3% of your waking hours -- is enough to reduce the risk of heart attack , the magazine LeBrasseur said.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: enough to move the needle
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: people doing 30 minutes of moderate physical activity per day 
source_base: LeBrasseur
source_new: LeBrasseur"
The Rochester Epidemiology Project between 1991 and 2015 helped researchers compare Parkinson's patients with a control group.The greatest risk was seen in people living one to three miles from a golf course and the expansive lawns that come with it.,"risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: greatest risk
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: people in the control group
reference_class_description_new: people living one to three miles from a golf course
source_base: data from the Rochester Epidemiology Project between 1991 and 2015
source_new: data from the Rochester Epidemiology Project between 1991 and 2016"
" For instance, one large study of nearly 2,000 people found that anorexia was rare among families without eating disorders, but female relatives of people with an eating disorder were more than 11 times as likely to develop anorexia themselves.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: more than 11 times as likely 
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: female relatives of people with an eating disorder
source_base: One large study
source_new: One large study"
A recent Norwegian study reveals that walking for 100 minutes weekly can significantly reduce chronic lower back pain by 23%.,"risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: 0.77
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: significantly reduce
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: people who do not walk 100 minutes per week
reference_class_description_new: people who walk 100 minutes per week 
source_base: recent Norwegian study
source_new: recent Norwegian study"
"Currently, dementia affects an estimated 6.9 million Americans, or about 2% of the population. That number is expected to double by 2060 as Millennials reach and surpass age 70 -- when cognitive decline on average first appears -- with Gen Z'ers (born from the mid-1990s to roughly 2010) hot on their aging heels.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 2%
absolute_risk_new: null
absolute_number_base: 6900000.0
absolute_number_new: null
absolute_risk_difference: null
relative_risk: 2.0
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: expected to double
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: people affected by dementia in the U.S. in the current year 
reference_class_description_new: people projected to be affected by dementia in the U.S. in 2060
source_base: null
source_new: null"
"In two clinical trials called PURPOSE 1 and PURPOSE 2, lenacapavir worked extremely well to prevent HIV infections in both men and women. More than 99.9% of participants taking the twice-a-year shot remained HIV negative during the studies.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 99,90%
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: more than 99,9%
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: participants taking the twice-a-year lenacapavir shot in the PURPOSE trials 
reference_class_description_new: null
source_base: null
source_new: null"
"Their nationally representative analysis found that ""among those who had never had a major cardiovascular event, just under half -- 47 percent -- were eligible for cholesterol-lowering drugs under U.S. guidelines but only 23 percent were taking them,"" the news release reported.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 47%
absolute_risk_new: 23%
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: just under half
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: people without prior cardivascular events who are eligible for cholesterol-lowering drugs
reference_class_description_new: people without prio cardiovascular events who are actually taking cholesterol-lowering drugs 
source_base: the news release 
source_new: the news release "
"Lyme disease cases in Michigan have increased by 168% over the last five years, the Michigan Department of Health and Human Services said. The state recorded 1,215 cases in 2024, compared to 452 cases in 2020.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: 452.0
absolute_number_new: 1215.0
absolute_risk_difference: null
relative_risk: 2.68
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: reported Lyme disease cases in Michigan in 2020
reference_class_description_new: reported Lyme disease cases in Michigan in 2024
source_base: null
source_new: null"
"Adults who received the recombinant shingles vaccine Shingrix or the respiratory syncytial virus (RSV) vaccine Arexvy -- both of which contain the AS01 adjuvant -- had a lower risk for dementia in the 18 months after vaccination than peers who received the flu vaccine, which does not contain the AS01 adjuvant, investigators found.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: null
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: lower risk
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: adults who received the flu vaccine (without AS01 adjuvant)
reference_class_description_new: adults who received the Shingrix or Arexvy vaccine (with AS01 adjuvant)
source_base: investigators
source_new: investigators"
The new diabetes treatment reduced the incidence of severe cardiovascular events by 35% in patients at high risk. These results mark a major breakthrough and support broader use of the therapy in routine care.,"risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: null
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: null
absolute_risk_difference: null
relative_risk: 0.65
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: null
reference_class_description_new: patients at high risk receiving the new treatment
source_base: null
source_new: null"
"According to a report by the World Health Organization, the absolute 10-year risk of stroke in untreated hypertensive adults over 60 is approximately 12%. In a cohort receiving the new antihypertensive drug, 48 participants experienced a stroke during the same period, representing a relative risk of 0.4 compared to the untreated group.","risk_communication: 1
unrelated_risks: 0.0
absolute_risk_base: 12%
absolute_risk_new: null
absolute_number_base: null
absolute_number_new: 48.0
absolute_risk_difference: null
relative_risk: 0.4
absolute_number_difference: null
verbal_descriptor_base: null
verbal_descriptor_new: null
verbal_descriptor_change: null
reference_class_size_base: null
reference_class_size_new: null
reference_class_description_base: untreated hypertensive adults over 60
reference_class_description_new: hypertensive adults over 60 receiving the new drug
source_base: World Health Organization
source_new: World Health Organization"
